searchSlur,Slur,Represents,Reason
opec,OPEC,Arabs,The Organization of Petrolium Exporting Countries
opie,Opie,Whites,Blacks call goofy whites this.
oquiziohcha,Oquizi Ohcha,Whites,Means 'White Devil'. From Africa
orangepicker,Orange Picker,Hispanics,From all the Hispanics that work in the agriculture industry in California.
orangie,Orangie,Dutch,The national Dutch color is Orange and they manifest this color everwhere in their country- from soccer season to vehicle paint jobs
orb,Orb,Blacks,The word 'bro' backwards.
oreo,Oreo,Blacks,A black person who acts white. Black on the outside white on the inside. Or a person who half black/half white.
oreo,Oreo,Asians,Oreo is bastardized form of Oriental.
oriental,Oriental,Asian,Considered offensive because it dates back to Orientalism when Asians were considered savages and Asian women were all seen as sexual objects.
orlando,Orlando,Blacks,Used by other black people to refer to the 'old-school' blacks who do not keep current with the 'gansta' styles of music or clothing.
ornamental,Ornamental,Asians,From Oriental.
osama,Osama,Arabs,Osama Bin Laden obviously
osrouge,Osrouge,Mixed Races,Native American/Black mix. Rouge means 'Red' in French.
otaku,Otaku,Whites,A white person that tries to be Japanese in every way
othello,Othello,Blacks,Refers to black men who only date white women. Reference to the Shakespearean play of the same title about a black man named Othello married to a white woman.
ovenmagnet,Oven Magnet,Jews,Attracted to the inside of ovens.
oven-baked,Oven-Baked,Jews,World War II reference.
oven-dweller,Oven-Dweller,Jews,World War II reference.
oye,Oye,Cubans,(Pronounced o-yay) Derogatory term used by non-Cubans. Derived from their frequent and rude use of the word oye in conversation. Means hey or hey you.
oyebo,Oyebo,Whites,It literally means peeled skin. It is what the Yoruba people of Nigeria used to call the first Europeans they saw.
oz,Oz,Australians,Shortened form of Aussie
p-1,P-1,Asians,P-1 is a commonly used abbreviation for traffic collision reports for Party #1 Party #1 is normally the person at fault for a collision.
p.r.,P. R.,Puerto Ricans,self-explanatory
p.l.o.,P.L.O.,Arabs,Palestinian Liberation Organization
p.o.a.,P.O.A.,Blacks,Previously Owned American
pacman,Pac Man,Pakistanis,Sounds similar to pac-man (the early 80s arcade game)
pachuco,Pachuco,Mexicans,A gang of Mexicans living in California in the 1940s
paddy,Paddy,Irish,Used mainly in Britain. Similar negativity connotations as nigger. Comes from St. Patrick and/or from the common Irish name Padraig.  Also spelled Patty.
paddywagon,Paddy Wagon,Irish,Variation of paddy. The term Paddy Wagon derives from the idea that the Irish were all criminals and when the police came to quell a brawl or something of the like they would just be rounding up a bunch of paddys.
pajamamamma,Pajama Mamma,Arabs,Arab (and/or Muslim) women wear clothes that resemble pajamas
pakeha,Pakeha,New Zealanders,White New Zealanders. Not generally seen as derogatory. The word derives from 'pakepakeha'...mythical fair-skinned human-like creatures and now means any New Zealander with predominantly European ancestry. Was referenced in the news recently when some white Kiwis tried to get it changed on their census forms because it was racist - Pakeha translates to White pig a reference both to what the Maoris thought of the first English settlers and the way the same settlers tasted when eaten - salty like the wild pigs they also ate.
paki,Paki,Indians,Short for Pakistani. Often not derogatory when used. In The UK many Indians and Pakistanis have been lumped under the same term. It's *much* more of a slur to Indians
pakoniggy,Pakoniggy,Mixed Races,Pakistani/Black mix.
pal,Pal,Palestinians,Self-explanatory
palangi,Palangi,Whites,Samoan name for Caucasians
paleface,Paleface,Whites,The brim of a cowboy's hat would make an odd suntan across his face.  The bottom half would be tanned dark while the top half remained pale because it was shaded by the brim.  The Native American sign for a white person was wiping the index finger across their own face along the bridge of the nose indicating the border between dark and light skin on a cowboy's face.  They came to call the white men pale faces.
paleostinian,Paleostinian,Palestinians,Accusing the Palestinians of primitive barbarous behavior.
palesimian,Palesimian,Palestinians,Combination of Palestinian with simian i.e. ape-like or subhuman.
palewhineian,Palewhineian,Palestinians,Israeli meaning discontent nature of Palestinians
palmbeacher,Palm Beacher,Jews,Elderly Jews in Palm Beach County Florida deadlocked the election for 2 months.
palta,Palta,Blacks,Means avocado in south american spanish referring to the color of a ripe avocado
pandatrainer,Panda Trainer,Chinese,Pandas are from China.
panface,Panface,Chinese,Faces flat like they were hit with a pan.
panhead,Panhead,Asians,Facial characteristics.
papaganoush,Papa Ganoush,Arabs,A play on the arabic food baba ganoush an eggplant and garlic sauce which is often consumed by arabic people.
paperbag,Paperbag,Creole,The light color blacks in South Louisiana mainly around New Orleans (Creoles) skin is the color of a brown paper bag.
papolo,Papolo,Blacks,Hawaiian word for purple.
paragraph,Paragraph,Hispanics,Referring to hispanic children.  'Not quite an essay (see ese) but a paragraph.'
paragua,Paragua,Paraguayans,Argentines refer to the poorer Paraguayan immigrants who live in Argentina as Paraguas. It means umbrella only related with the alike pronunciation nevertheless derogatory.
parishilton,Paris Hilton,Whites,Based off the hotel heiress who represents every negative stereotype about WASP women.
parsik,Parsik,Persians,Armenian word for Persians.  Insulting apparently.
pastyface,Pastyface,Whites,Used mainly by Blacks to refer to a really pale White person. The vanilla creamy color of Whites' skin that seldom gets exposed to the sun. Derogatory in nature.
patel,Patel,Indians,Means Innkeeper or Motel Owner. Pal is a name of rich land owning Indians. It means landowner. It's a slur because only the rich Indians would come to western countries years ago a flood of patels.
patioprimate,Patio Primate,Blacks,Politically-correct version of Porch Monkey
patty,Patty,Asians,Abundance of rice patties in Asia
patty,Patty,Whites,Whites used to pat black people on top of thier head for good luck. Blacks reffered to whites as patty.
peanutbutterbrother,Peanut Butter Brother,Arabs,Not quite White;  Not Quite Black.  The color of peanut butter.
peasouper,Peasouper,French Canadians,Late 19th early 20th century slur refers to the fact that pea soup was a popular food amongst the people of Quebec
peckerwood,Peckerwood,Whites,Originated in the South (pre-Civil War by the slaves). Comes from red-necked woodpecker. See: Redneck
peckin,Peckin,Whites,Reminiscent of farm life and chickens pecking the ground when eating seed.
peeledbanana,Peeled Banana,Asians,Americanized Asians who try to act like whites.
pekka,Pekka,Finnish,Used by many Estonian and Russian immigrants in Finland. They think that every Finn is pekka and that they are jerks. Also known as suomalaine pekka which means Finnish Pekka.
pelu-ano,Pelu-ano,Peruvians,Pelu-ano means hairy ass but at the same time sound like Peruano Peruvians in Spanish.
penandink,Pen and Ink,Chinese,Cockney rhyming slang chink = pen and ink
pendos,Pendos,Greeks,Used by Russians as a derogatory term for Greeks. There has been a sizable Greek community in southern Russia for many generations. Many of them originally hailed from the Pontus region of Turkey. Hence Pontus=Pendos.
pennychaser,Penny Chaser,Jews,The old Jews are cheap thing.
penny-pincher,Penny-Pincher,Jews,Cheapness
pepik,Pepik,Czechs,Czech Males. Pepik is a Czech name that sounds funny to Polish people so we called them Pepiks.
pepper,Pepper,French Canadians,A derivative of Pepsi. Quebec is the only place in North America where Pepsi has traditionally outsold Coke.
pepperbelly,Pepperbelly,Hispanics,They eat a lot of peppers. Refrence to their love for spicy foods.
pepsi,Pepsi,French Canadians,Empty from the neck up. Stereotypical softdrink of choice (considered quite insulting). Related to Pepper.
permsperm,Perm Sperm,Whites,Meaning they are forever white since they were a sperm to when they were born through their entire live they stay white like a sperm.
perogy,Perogy,Ukrainians,From the popular Ukrainian dish.
persuasion,Persuasion,Whites,Similar sound to Caucasion; Implies their persuasive scandalous actions and attitudes.
peterpan/tinkerbell,Peter Pan/Tinkerbell,Dutch,The Dutch live in the Netherlands (Neverland)
petrolsniffers,Petrol Sniffers,Australian Aboriginals,In Australia they sniff all the petrol and gas.
petrolera,Petrolera,Whites,Used by Hispanics against White Women that like Black Men.  Comes from the word Petrolio or Petrolium in Spanish.  Indicates that these women like Petrolium because them men they date are black like petrolium
petrolero,Petrolero,Hispanics,Hispanics Who Are Attracted To Blacks.  Means Oil Drillers.
petrovich,Petrovich,Slovakians,Common (sounding) name
pezdispenser,Pez Dispenser,Blacks,Used to refer to black women who have a great deal of children.
phlegm,Phlegm,Belgians,Pronounced flems from Monty Python's Flying Circus.
pickaninny,Pickaninny,Blacks,From the days of slavery. Three possible origins: The slave owners would pick a nincompoop from the lineup of slaves; or the slave children who couldn't pick cotton ain't pickaninny; in some parts of the south breasts are referred to as ninnys so pickaninny was a reference to blacks being used as wetnurses.
pieface,Pie Face,Eskimos,Round shape of their faces. Most like originates from (or at least made popular by) the comic book The Green Lantern who had a mechanic Tom Pieface Kalmaku. Tom was an Alaskan Innuit (Eskimo) who was called Pieface because his features made his eyes look like an eskimo pie.
piffke,Piffke,Germans,Pronounced pif - ka. Used by Bavarians/Austrians to refer to North Germans (after a famous Prussian with the last name Pieffke).
pig-fucker,Pig-fucker,Whites,One who engages in the act of pig-fucking a favorite pass time among those hailing from rural areas of America's southern states.
pigger,Pigger,Pakistanis,Pakistanis trying to act black.
pigmently-challenged,Pigmently-Challenged,Whites,Self-explanatory
pigs,PIGS,Mediterraneans,Portuguese Italian Greek Spanish.  Specifically refers to Mediterranean men and their piggish behavior toward women in particular
pikachu,Pikachu,Japanese,A popular Japanese cartoon character.
pikajew,Pikajew,Mixed Races,A Jewish Asian.
pikey,Pikey,Gypsies,Referenced in the film Snatch.
pilgrim,Pilgrim,Whites,All white people come from Europe they claim to be American but they are not they are pilgrims. It's a racist term because when white people realize the truth whatever pride they have in being American will be crushed. This term is mostly used by Mexicans and Native Americans which happen to be the real Americans not whites.
pindos,Pindos,Americans,A new word for american used in Russia
pindunderjip,Pindunderjip,Indians,From the joke; What is an East Indian that got hit by a truck called?  Answer; Pindunbderjip or Pinned under jeep.
pinesol,Pine Sol,Blacks,A fat black woman - inspired by the Pine Sol commercials.
pinetreeornament,Pine Tree Ornament,Blacks,Pine trees were the tree of choice to hang blacks
pineapple,Pineapple,Blacks,Blacks who act like Asians or is very into Asian culture. Black on the outside yellow on the inside
pineapple,Pineapple,Filipinos,Pineapples grow there and they kinda look like pineapples. Short Fat with weird hair.
pineapplelump,Pineapple Lump,Asians,Reference to asian vehicles?
pineapplenigger,Pineapple Nigger,Hawaiians,Pineapples grow there.
pineback,Pineback,Canadians,Canadians in the United States illegally. Wetbacks have to cross a river pinebacks deal with pine trees.
pinewood,Pinewood,Whites,Pine being a whiter colored wood than most.
piney,Piney,Whites,Women who use the pine tree shaped car fresheners as perfume to remove a multitude of smells inherent to the white trash lifestyle.
pingpong,Ping Pong,Chinese,Because Ping Pong is the favorite sport of the chinese
ping-pang,Ping-pang,Asians,Mimics the way their language sounds to non-Asians.
pinktoe,Pink Toe,Whites,They have pink toes
pink-heel,Pink-Heel,Blacks,Color of heel is pink.
pinkaloid,Pinkaloid,Whites,Refers to skin color
pinko,Pinko,Russians,Originally referred to Communist sympathizers - later as a general slur against all Leftists including Communist Party members. Now pretty much synonymous with Russians/Communists.
pinky,Pinky,Whites,Skin color closer to pink
pinkypoop,Pinky Poop,Mixed Races,Vietnamese/Black mix. For when Black soldiers had kids with Vietnamese women.
